log_id,log_date,duration_minutes,total_calories_burned,average_heart_rate,trainee_feedback_rating,coach_notes,program_id,trainee_id
1,2023-01-06,87.98,859,136.2,1,"A bit distracted, but finished the routine.",7,499
2,2024-02-20,32.55,256,112.2,2,"Solid session, increased weights on main exercises.",8,486
3,2023-12-24,80.63,461,159.4,1,"Good pace, kept heart rate in the target zone.",8,326
4,2023-07-08,40.9,362,135.3,10,"A bit distracted, but finished the routine.",9,209
5,2023-10-08,70.61,405,184.4,3,"Struggled with the last few sets, might need more recovery.",10,327
6,2023-12-20,43.27,282,122.6,10,"Struggled with the last few sets, might need more recovery.",10,85
7,2023-06-18,78.86,474,110.4,1,Needs to work on breathing technique during heavy lifts.,9,63
8,2023-10-07,75.65,628,144.0,3,"Struggled with the last few sets, might need more recovery.",6,370
9,2023-07-05,101.04,532,180.9,7,"Great effort today, pushed through the fatigue.",7,191
10,2023-11-05,110.69,742,132.2,4,"Struggled with the last few sets, might need more recovery.",5,291
11,2023-02-21,89.03,673,134.0,7,Needs to work on breathing technique during heavy lifts.,1,59
12,2023-09-18,109.92,1057,158.4,7,Crushed the personal records today!,4,13
13,2023-08-11,91.22,840,112.6,5,"Struggled with the last few sets, might need more recovery.",4,94
14,2023-04-25,66.32,510,174.8,4,"A bit distracted, but finished the routine.",2,260
15,2023-01-25,100.57,883,158.7,8,"Standard workout, no special issues.",7,112
16,2023-07-15,69.56,658,114.2,9,"Great effort today, pushed through the fatigue.",10,10
17,2023-07-09,49.91,436,120.4,2,Needs to work on breathing technique during heavy lifts.,1,339
18,2023-12-13,106.37,994,145.0,9,Felt a bit tired but completed the program.,5,66
19,2023-08-12,71.27,441,111.9,6,"Standard workout, no special issues.",3,344
20,2023-03-25,45.14,247,180.3,8,"Solid session, increased weights on main exercises.",5,463
21,2023-09-11,109.11,657,111.1,9,"Standard workout, no special issues.",9,331
22,2023-03-30,58.24,349,179.4,3,"Solid session, increased weights on main exercises.",6,469
